Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",101.637500,-29.000000,180.000000,bottom
"J25","5VDC","JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal",102.750000,-33.050000,180.000000,bottom
